idx,2000020,2000021,2000023,2000025,2000027,2000026,2000036,2000037,2000038,2000039,2000040,2000051,2000052,2000054,2000072,2000075,2000211,2000273,2000274,2000504,2000672,2000732,2000794,2000797,2001187,4100006,4100007,4100012,4100105,4100106,4100107,4100109,4100642,4100643,4100646,4100647,4100649,4100653,4100658,4100671,4100684,4100689,4100697,4100713,4100723,4100759,4100760,4100764,4100766,4100768,4100769,4100775,4100779,4100782,4100793,4100794,4100799,4100810,4100811,4100812,4100813,4100830,4100833,4101000,4101005,4101248,4101253,4101345,4101346,4101347,4101374,4101441,4101764,4101774,4101920
PNM11,,40.0,,,,,,,13.0,,,,,,,,,,,,,,,,,46.6,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,0.35,,,,,,,,,,,,,
PNM59,,,,,,65.5,,5.0,,,,,,,,,,,,,,,,,,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,
PNM205,,,,44.0,,,,17.49,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.5,,,,,,,,,,,37.0,,
PNM129,,,,,,,,,,,,,,,,,,,,,,,,,,,53.35,,,,10.0,8.0,,,,28.0,,,,,,,,,,,,0.05,,,,,0.05,,,,,,,,,0.5,,,,,,0.05,,,,,,,
PNM193,,,,,,60.0,,10.0,,,,,,,,,,,,,,,,,,29.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.5,,,,,,,,,,,,,
PNM8,,,,,,,,,,,,,12.0,,,,,,,,,,,,,53.43,,,,,,,,32.0,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,0.5,,2.0,,,,,,,,,,,
PNM77,,,,,,12.0,,35.0,,,,,,,,,,,,,,,,,,36.48,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.5,,,,,,,,,,,,,
PNM3,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNM14,,60.0,,,,,,,5.0,,,,,,,,,,,,,,,,,34.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.35,,,,,,,,,,,,,
PNM166,,,,,,70.5,,10.0,,,,,,,,,,,,,,,,,,19.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,
PNM21,,,,75.0,,,,,,10.0,,,,,,,,,,,,,,,,14.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.2,,,,,,,,,,,,,
PNM80,,,,,,17.0,,28.5,,,,,,,,,,,,,,,,,,33.99,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.5,,,,,,,,,,,,,
PNM175,,,,,,50.5,,10.0,,,,,,,,,,,,,,,,,,38.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.5,,,,,,,,,,,,,
PNM217,,,,,27.0,,,28.5,,,,,,,,,,,,,,,,,,21.0,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
PNM125,,,,,,,,24.0,,,,,,,,,,19.5,,,,,,,,35.99,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.5,,,,,,,,,,,,,
PNM156,,17.0,,,,,,,28.5,,,,,,,,,,,,,,,,,33.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.5,,,,,,,,,,,,,20.0
PNM167,,,,,,44.0,,17.0,,,,,,,,,,,,,,,,,,38.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.5,,,,,,,,,,,,,
PNM83,,,,,,,,,,,,,,,1.0,86.25,12.5,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,
PNM34,,,,,,48.5,,10.0,,,,,,,,,,,,,,,,,,40.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.5,,,,,,,,,,,,,
PNM190,,,,,,1.0,,39.5,,,,,,,,,,,,,,,,,,,,,,,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.6,,,,,,,,,,32.35,,,
